"","Movies_Title","Released_Year","Certificate","Runtime","Genre","IMDB_Rating","Meta_score","Director","Star1","Star2","Star3","Star4","No_of_Votes","Gross","ID","IMDB_Rating_mod","Meta_score_mod"
"947","Y tu mamá también",2001,"A",106,"Drama",7.6,88,"Alfonso Cuarón","Maribel Verdú","Gael García Bernal","Daniel Giménez Cacho","Ana López Mercado",115827,13622333,947,"7.5-8","A"
"948","Harry Potter and the Sorcerer's Stone",2001,"U",152,"Adventure",7.6,64,"Chris Columbus","Daniel Radcliffe","Rupert Grint","Richard Harris","Maggie Smith",658185,317575550,948,"7.5-8","B"
"949","The Others",2001,"PG-13",101,"Horror",7.6,74,"Alejandro Amenábar","Nicole Kidman","Christopher Eccleston","Fionnula Flanagan","Alakina Mann",337651,96522687,949,"7.5-8","B+"
"950","Blow",2001,"R",124,"Biography",7.6,52,"Ted Demme","Johnny Depp","Penélope Cruz","Franka Potente","Rachel Griffiths",240714,52990775,950,"7.5-8","C"
"951","Enemy at the Gates",2001,"A",131,"Drama",7.6,53,"Jean-Jacques Annaud","Jude Law","Ed Harris","Joseph Fiennes","Rachel Weisz",243729,51401758,951,"7.5-8","C"
"952","Minority Report",2002,"A",145,"Action",7.6,80,"Steven Spielberg","Tom Cruise","Colin Farrell","Samantha Morton","Max von Sydow",508417,132072926,952,"7.5-8","B+"
"953","The Hurricane",1999,"R",146,"Biography",7.6,74,"Norman Jewison","Denzel Washington","Vicellous Shannon","Deborah Kara Unger","Liev Schreiber",91557,50668906,953,"7.5-8","B+"
"954","American Psycho",2000,"A",101,"Comedy",7.6,64,"Mary Harron","Christian Bale","Justin Theroux","Josh Lucas","Bill Sage",490062,15070285,954,"7.5-8","B"
"955","Lola rennt",1998,"UA",81,"Crime",7.6,77,"Tom Tykwer","Franka Potente","Moritz Bleibtreu","Herbert Knaup","Nina Petri",188317,7267585,955,"7.5-8","B+"
"956","The Thin Red Line",1998,"A",170,"Drama",7.6,78,"Terrence Malick","Jim Caviezel","Sean Penn","Nick Nolte","Kirk Acevedo",172710,36400491,956,"7.5-8","B+"
"957","Mulan",1998,"U",88,"Animation",7.6,71,"Tony Bancroft","Barry Cook","Ming-Na Wen","Eddie Murphy","BD Wong",256906,120620254,957,"7.5-8","B"
"958","Fear and Loathing in Las Vegas",1998,"R",118,"Adventure",7.6,41,"Terry Gilliam","Johnny Depp","Benicio Del Toro","Tobey Maguire","Michael Lee Gogin",259753,10680275,958,"7.5-8","F"
"959","Funny Games",1997,"A",108,"Crime",7.6,69,"Michael Haneke","Susanne Lothar","Ulrich Mühe","Arno Frisch","Frank Giering",65058,23530892,959,"7.5-8","B"
"960","Dark City",1998,"A",100,"Mystery",7.6,66,"Alex Proyas","Rufus Sewell","Kiefer Sutherland","Jennifer Connelly","William Hurt",187927,14378331,960,"7.5-8","B"
"961","Sleepers",1996,"UA",147,"Crime",7.6,49,"Barry Levinson","Robert De Niro","Kevin Bacon","Brad Pitt","Jason Patric",186734,49100000,961,"7.5-8","C"
"962","Lost Highway",1997,"A",134,"Mystery",7.6,52,"David Lynch","Bill Pullman","Patricia Arquette","John Roselius","Louis Eppolito",131101,3796699,962,"7.5-8","C"
"963","Sense and Sensibility",1995,"U",136,"Drama",7.6,84,"Ang Lee","Emma Thompson","Kate Winslet","James Fleet","Tom Wilkinson",102598,43182776,963,"7.5-8","B+"
"964","Die Hard: With a Vengeance",1995,"A",128,"Action",7.6,58,"John McTiernan","Bruce Willis","Jeremy Irons","Samuel L. Jackson","Graham Greene",364420,100012499,964,"7.5-8","B"
"965","Dead Man",1995,"R",121,"Adventure",7.6,62,"Jim Jarmusch","Johnny Depp","Gary Farmer","Crispin Glover","Lance Henriksen",90442,1037847,965,"7.5-8","B"
"966","The Bridges of Madison County",1995,"A",135,"Drama",7.6,69,"Clint Eastwood","Clint Eastwood","Meryl Streep","Annie Corley","Victor Slezak",73172,71516617,966,"7.5-8","B"
"967","Apollo 13",1995,"U",140,"Adventure",7.6,77,"Ron Howard","Tom Hanks","Bill Paxton","Kevin Bacon","Gary Sinise",269197,173837933,967,"7.5-8","B+"
"968","Trois couleurs: Blanc",1994,"U",92,"Comedy",7.6,88,"Krzysztof Kieslowski","Zbigniew Zamachowski","Julie Delpy","Janusz Gajos","Jerzy Stuhr",64390,1464625,968,"7.5-8","A"
"969","Falling Down",1993,"R",113,"Action",7.6,56,"Joel Schumacher","Michael Douglas","Robert Duvall","Barbara Hershey","Rachel Ticotin",171640,40903593,969,"7.5-8","C"
"970","Dazed and Confused",1993,"U",102,"Comedy",7.6,78,"Richard Linklater","Jason London","Wiley Wiggins","Matthew McConaughey","Rory Cochrane",165465,7993039,970,"7.5-8","B+"
"971","My Cousin Vinny",1992,"UA",120,"Comedy",7.6,68,"Jonathan Lynn","Joe Pesci","Marisa Tomei","Ralph Macchio","Mitchell Whitfield",107325,52929168,971,"7.5-8","B"
"972","Omohide poro poro",1991,"U",118,"Animation",7.6,90,"Isao Takahata","Miki Imai","Toshirô Yanagiba","Yoko Honna","Mayumi Izuka",27071,453243,972,"7.5-8","A"
"973","Delicatessen",1991,"R",99,"Comedy",7.6,66,"Marc Caro","Jean-Pierre Jeunet","Marie-Laure Dougnac","Dominique Pinon","Pascal Benezech",80487,1794187,973,"7.5-8","B"
"974","Home Alone",1990,"U",103,"Comedy",7.6,63,"Chris Columbus","Macaulay Culkin","Joe Pesci","Daniel Stern","John Heard",488817,285761243,974,"7.5-8","B"
"975","The Godfather: Part III",1990,"A",162,"Crime",7.6,60,"Francis Ford Coppola","Al Pacino","Diane Keaton","Andy Garcia","Talia Shire",359809,66666062,975,"7.5-8","B"
"976","When Harry Met Sally...",1989,"UA",95,"Comedy",7.6,76,"Rob Reiner","Billy Crystal","Meg Ryan","Carrie Fisher","Bruno Kirby",195663,92823600,976,"7.5-8","B+"
"977","The Little Mermaid",1989,"U",83,"Animation",7.6,88,"Ron Clements","John Musker","Jodi Benson","Samuel E. Wright","Rene Auberjonois",237696,111543479,977,"7.5-8","A"
"978","The Naked Gun: From the Files of Police Squad!",1988,"U",85,"Comedy",7.6,76,"David Zucker","Leslie Nielsen","Priscilla Presley","O.J. Simpson","Ricardo Montalban",152871,78756177,978,"7.5-8","B+"
