"","Movies_Title","Released_Year","Certificate","Runtime","Genre","IMDB_Rating","Meta_score","Director","Star1","Star2","Star3","Star4","No_of_Votes","Gross","ID","IMDB_Rating_mod","Meta_score_mod"
"180","The Great Escape",1963,"U",172,"Adventure",8.2,86,"John Sturges","Steve McQueen","James Garner","Richard Attenborough","Charles Bronson",224730,12100000,180,"8-8.5","A"
"181","To Kill a Mockingbird",1962,"U",129,"Crime",8.2,88,"Robert Mulligan","Gregory Peck","John Megna","Frank Overton","Rosemary Murphy",293811,23530892,181,"8-8.5","A"
"182","Yôjinbô",1961,"Not rated",110,"Action",8.2,79,"Akira Kurosawa","Toshirô Mifune","Eijirô Tôno","Tatsuya Nakadai","Yôko Tsukasa",111244,23530892,182,"8-8.5","B+"
"183","Judgment at Nuremberg",1961,"A",179,"Drama",8.2,60,"Stanley Kramer","Spencer Tracy","Burt Lancaster","Richard Widmark","Marlene Dietrich",69458,23530892,183,"8-8.5","B"
"184","Some Like It Hot",1959,"U",121,"Comedy",8.2,98,"Billy Wilder","Marilyn Monroe","Tony Curtis","Jack Lemmon","George Raft",243943,2.5e+07,184,"8-8.5","A"
"185","Smultronstället",1957,"U",91,"Drama",8.2,88,"Ingmar Bergman","Victor Sjöström","Bibi Andersson","Ingrid Thulin","Gunnar Björnstrand",96381,23530892,185,"8-8.5","A"
"186","Det sjunde inseglet",1957,"A",96,"Drama",8.2,88,"Ingmar Bergman","Max von Sydow","Gunnar Björnstrand","Bengt Ekerot","Nils Poppe",164939,23530892,186,"8-8.5","A"
"187","Du rififi chez les hommes",1955,"Not rated",118,"Crime",8.2,97,"Jules Dassin","Jean Servais","Carl Möhner","Robert Manuel","Janine Darcey",28810,57226,187,"8-8.5","A"
"188","Dial M for Murder",1954,"A",105,"Crime",8.2,75,"Alfred Hitchcock","Ray Milland","Grace Kelly","Robert Cummings","John Williams",158335,12562,188,"8-8.5","B+"
"189","Tôkyô monogatari",1953,"U",136,"Drama",8.2,79,"Yasujirô Ozu","Chishû Ryû","Chieko Higashiyama","Sô Yamamura","Setsuko Hara",53153,23530892,189,"8-8.5","B+"
"190","Rashômon",1950,"Not rated",88,"Crime",8.2,98,"Akira Kurosawa","Toshirô Mifune","Machiko Kyô","Masayuki Mori","Takashi Shimura",152572,96568,190,"8-8.5","A"
"191","All About Eve",1950,"Passed",138,"Drama",8.2,98,"Joseph L. Mankiewicz","Bette Davis","Anne Baxter","George Sanders","Celeste Holm",120539,10177,191,"8-8.5","A"
"192","The Treasure of the Sierra Madre",1948,"Passed",126,"Adventure",8.2,98,"John Huston","Humphrey Bogart","Walter Huston","Tim Holt","Bruce Bennett",114304,5014000,192,"8-8.5","A"
"193","To Be or Not to Be",1942,"Passed",99,"Comedy",8.2,86,"Ernst Lubitsch","Carole Lombard","Jack Benny","Robert Stack","Felix Bressart",29915,23530892,193,"8-8.5","A"
"194","The Gold Rush",1925,"Passed",95,"Adventure",8.2,79,"Charles Chaplin","Charles Chaplin","Mack Swain","Tom Murray","Henry Bergman",101053,5450000,194,"8-8.5","B+"
"195","Sherlock Jr.",1924,"Passed",45,"Action",8.2,79,"Buster Keaton","Buster Keaton","Kathryn McGuire","Joe Keaton","Erwin Connelly",41985,977375,195,"8-8.5","B+"
"196","Portrait de la jeune fille en feu",2019,"R",122,"Drama",8.1,95,"Céline Sciamma","Noémie Merlant","Adèle Haenel","Luàna Bajrami","Valeria Golino",63134,3759854,196,"8-8.5","A"
"197","Pink",2016,"UA",136,"Drama",8.1,79,"Aniruddha Roy Chowdhury","Taapsee Pannu","Amitabh Bachchan","Kirti Kulhari","Andrea Tariang",39216,1241223,197,"8-8.5","B+"
"198","Koe no katachi",2016,"16",130,"Animation",8.1,78,"Naoko Yamada","Miyu Irino","Saori Hayami","Aoi Yûki","Kenshô Ono",47708,23530892,198,"8-8.5","B+"
"199","Contratiempo",2016,"TV-MA",106,"Crime",8.1,79,"Oriol Paulo","Mario Casas","Ana Wagener","Jose Coronado","Bárbara Lennie",141516,23530892,199,"8-8.5","B+"
"200","Ah-ga-ssi",2016,"A",145,"Drama",8.1,84,"Chan-wook Park","Kim Min-hee","Jung-woo Ha","Cho Jin-woong","Moon So-Ri",113649,2006788,200,"8-8.5","B+"
"201","Mommy",2014,"R",139,"Drama",8.1,74,"Xavier Dolan","Anne Dorval","Antoine Olivier Pilon","Suzanne Clément","Patrick Huard",50700,3492754,201,"8-8.5","B+"
"202","Haider",2014,"UA",160,"Action",8.1,79,"Vishal Bhardwaj","Shahid Kapoor","Tabu","Shraddha Kapoor","Kay Kay Menon",50445,901610,202,"8-8.5","B+"
"203","Logan",2017,"A",137,"Action",8.1,77,"James Mangold","Hugh Jackman","Patrick Stewart","Dafne Keen","Boyd Holbrook",647884,226277068,203,"8-8.5","B+"
"204","Room",2015,"R",118,"Drama",8.1,86,"Lenny Abrahamson","Brie Larson","Jacob Tremblay","Sean Bridgers","Wendy Crewson",371538,14677674,204,"8-8.5","A"
"205","Relatos salvajes",2014,"R",122,"Comedy",8.1,77,"Damián Szifron","Darío Grandinetti","María Marull","Mónica Villa","Diego Starosta",177059,3107072,205,"8-8.5","B+"
"206","Soul",2020,"U",100,"Animation",8.1,83,"Pete Docter","Kemp Powers","Jamie Foxx","Tina Fey","Graham Norton",159171,23530892,206,"8-8.5","B+"
"207","Kis Uykusu",2014,"Not rated",196,"Drama",8.1,88,"Nuri Bilge Ceylan","Haluk Bilginer","Melisa Sözen","Demet Akbag","Ayberk Pekcan",46547,165520,207,"8-8.5","A"
"208","PK",2014,"UA",153,"Comedy",8.1,79,"Rajkumar Hirani","Aamir Khan","Anushka Sharma","Sanjay Dutt","Boman Irani",163061,10616104,208,"8-8.5","B+"
"209","OMG: Oh My God!",2012,"U",125,"Comedy",8.1,79,"Umesh Shukla","Paresh Rawal","Akshay Kumar","Mithun Chakraborty","Mahesh Manjrekar",51739,923221,209,"8-8.5","B+"
"210","The Grand Budapest Hotel",2014,"UA",99,"Adventure",8.1,88,"Wes Anderson","Ralph Fiennes","F. Murray Abraham","Mathieu Amalric","Adrien Brody",707630,59100318,210,"8-8.5","A"
"211","Gone Girl",2014,"A",149,"Drama",8.1,79,"David Fincher","Ben Affleck","Rosamund Pike","Neil Patrick Harris","Tyler Perry",859695,167767189,211,"8-8.5","B+"
"212","Ôkami kodomo no Ame to Yuki",2012,"U",117,"Animation",8.1,71,"Mamoru Hosoda","Aoi Miyazaki","Takao Osawa","Haru Kuroki","Yukito Nishii",38803,23530892,212,"8-8.5","B"
"213","Hacksaw Ridge",2016,"A",139,"Biography",8.1,71,"Mel Gibson","Andrew Garfield","Sam Worthington","Luke Bracey","Teresa Palmer",435928,67209615,213,"8-8.5","B"
"214","Inside Out",2015,"U",95,"Animation",8.1,94,"Pete Docter","Ronnie Del Carmen","Amy Poehler","Bill Hader","Lewis Black",616228,356461711,214,"8-8.5","A"
"215","Barfi!",2012,"U",151,"Comedy",8.1,79,"Anurag Basu","Ranbir Kapoor","Priyanka Chopra","Ileana D'Cruz","Saurabh Shukla",75721,2804874,215,"8-8.5","B+"
"216","12 Years a Slave",2013,"A",134,"Biography",8.1,96,"Steve McQueen","Chiwetel Ejiofor","Michael Kenneth Williams","Michael Fassbender","Brad Pitt",640533,56671993,216,"8-8.5","A"
"217","Rush",2013,"UA",123,"Action",8.1,74,"Ron Howard","Daniel Brühl","Chris Hemsworth","Olivia Wilde","Alexandra Maria Lara",432811,26947624,217,"8-8.5","B+"
"218","Ford v Ferrari",2019,"UA",152,"Action",8.1,81,"James Mangold","Matt Damon","Christian Bale","Jon Bernthal","Caitriona Balfe",291289,117624028,218,"8-8.5","B+"
"219","Spotlight",2015,"A",129,"Biography",8.1,93,"Tom McCarthy","Mark Ruffalo","Michael Keaton","Rachel McAdams","Liev Schreiber",420316,45055776,219,"8-8.5","A"
"220","Song of the Sea",2014,"PG",93,"Animation",8.1,85,"Tomm Moore","David Rawle","Brendan Gleeson","Lisa Hannigan","Fionnula Flanagan",51679,857524,220,"8-8.5","B+"
"221","Kahaani",2012,"UA",122,"Mystery",8.1,79,"Sujoy Ghosh","Vidya Balan","Parambrata Chattopadhyay","Indraneil Sengupta","Nawazuddin Siddiqui",57806,1035953,221,"8-8.5","B+"
"222","Zindagi Na Milegi Dobara",2011,"U",155,"Comedy",8.1,79,"Zoya Akhtar","Hrithik Roshan","Farhan Akhtar","Abhay Deol","Katrina Kaif",67927,3108485,222,"8-8.5","B+"
"223","Prisoners",2013,"A",153,"Crime",8.1,70,"Denis Villeneuve","Hugh Jackman","Jake Gyllenhaal","Viola Davis","Melissa Leo",601149,61002302,223,"8-8.5","B"
"224","Mad Max: Fury Road",2015,"UA",120,"Action",8.1,90,"George Miller","Tom Hardy","Charlize Theron","Nicholas Hoult","Zoë Kravitz",882316,154058340,224,"8-8.5","A"
"225","A Wednesday",2008,"UA",104,"Action",8.1,79,"Neeraj Pandey","Anupam Kher","Naseeruddin Shah","Jimmy Sheirgill","Aamir Bashir",73891,23530892,225,"8-8.5","B+"
"226","Gran Torino",2008,"R",116,"Drama",8.1,72,"Clint Eastwood","Clint Eastwood","Bee Vang","Christopher Carley","Ahney Her",720450,148095302,226,"8-8.5","B+"
"227","Harry Potter and the Deathly Hallows: Part 2",2011,"UA",130,"Adventure",8.1,85,"David Yates","Daniel Radcliffe","Emma Watson","Rupert Grint","Michael Gambon",764493,381011219,227,"8-8.5","B+"
"228","Okuribito",2008,"PG-13",130,"Drama",8.1,68,"Yôjirô Takita","Masahiro Motoki","Ryôko Hirosue","Tsutomu Yamazaki","Kazuko Yoshiyuki",48582,1498210,228,"8-8.5","B"
"229","Hachi: A Dog's Tale",2009,"G",93,"Biography",8.1,79,"Lasse Hallström","Richard Gere","Joan Allen","Cary-Hiroyuki Tagawa","Sarah Roemer",253575,23530892,229,"8-8.5","B+"
"230","Mary and Max",2009,"Not rated",92,"Animation",8.1,79,"Adam Elliot","Toni Collette","Philip Seymour Hoffman","Eric Bana","Barry Humphries",164462,23530892,230,"8-8.5","B+"
"231","How to Train Your Dragon",2010,"U",98,"Animation",8.1,75,"Dean DeBlois","Chris Sanders","Jay Baruchel","Gerard Butler","Christopher Mintz-Plasse",666773,217581231,231,"8-8.5","B+"
"232","Into the Wild",2007,"R",148,"Adventure",8.1,73,"Sean Penn","Emile Hirsch","Vince Vaughn","Catherine Keener","Marcia Gay Harden",572921,18354356,232,"8-8.5","B+"
"233","No Country for Old Men",2007,"R",122,"Crime",8.1,91,"Ethan Coen","Joel Coen","Tommy Lee Jones","Javier Bardem","Josh Brolin",856916,74283625,233,"8-8.5","A"
"234","Lage Raho Munna Bhai",2006,"U",144,"Comedy",8.1,79,"Rajkumar Hirani","Sanjay Dutt","Arshad Warsi","Vidya Balan","Boman Irani",43137,2217561,234,"8-8.5","B+"
"235","Million Dollar Baby",2004,"UA",132,"Drama",8.1,86,"Clint Eastwood","Hilary Swank","Clint Eastwood","Morgan Freeman","Jay Baruchel",635975,100492203,235,"8-8.5","A"
"236","Hotel Rwanda",2004,"PG-13",121,"Biography",8.1,79,"Terry George","Don Cheadle","Sophie Okonedo","Joaquin Phoenix","Xolani Mali",334320,23530892,236,"8-8.5","B+"
"237","Taegukgi hwinalrimyeo",2004,"R",140,"Action",8.1,64,"Je-kyu Kang","Jang Dong-Gun","Won Bin","Eun-ju Lee","Hyeong-jin Kong",37820,1111061,237,"8-8.5","B"
"238","Before Sunset",2004,"R",80,"Drama",8.1,90,"Richard Linklater","Ethan Hawke","Julie Delpy","Vernon Dobtcheff","Louise Lemoine Torrès",236311,5820649,238,"8-8.5","A"
"239","Munna Bhai M.B.B.S.",2003,"U",156,"Comedy",8.1,79,"Rajkumar Hirani","Sanjay Dutt","Arshad Warsi","Gracy Singh","Sunil Dutt",73992,23530892,239,"8-8.5","B+"
"240","Salinui chueok",2003,"UA",131,"Crime",8.1,82,"Bong Joon Ho","Kang-ho Song","Kim Sang-kyung","Roe-ha Kim","Jae-ho Song",139558,14131,240,"8-8.5","B+"
"241","Dil Chahta Hai",2001,"Unrated",183,"Comedy",8.1,79,"Farhan Akhtar","Aamir Khan","Saif Ali Khan","Akshaye Khanna","Preity Zinta",66803,3e+05,241,"8-8.5","B+"
"242","Kill Bill: Vol. 1",2003,"R",111,"Action",8.1,69,"Quentin Tarantino","Uma Thurman","David Carradine","Daryl Hannah","Michael Madsen",1000639,70099045,242,"8-8.5","B"
"243","Finding Nemo",2003,"U",100,"Animation",8.1,90,"Andrew Stanton","Lee Unkrich","Albert Brooks","Ellen DeGeneres","Alexander Gould",949565,380843261,243,"8-8.5","A"
"244","Catch Me If You Can",2002,"A",141,"Biography",8.1,75,"Steven Spielberg","Leonardo DiCaprio","Tom Hanks","Christopher Walken","Martin Sheen",832846,164615351,244,"8-8.5","B+"
"245","Amores perros",2000,"A",154,"Drama",8.1,83,"Alejandro G. Iñárritu","Emilio Echevarría","Gael García Bernal","Goya Toledo","Álvaro Guerrero",223741,5383834,245,"8-8.5","B+"
"246","Monsters, Inc.",2001,"U",92,"Animation",8.1,79,"Pete Docter","David Silverman","Lee Unkrich","Billy Crystal","John Goodman",815505,289916256,246,"8-8.5","B+"
"247","Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,"UA",87,"Animation",8.1,79,"Hideaki Anno","Kazuya Tsurumaki","Megumi Ogata","Megumi Hayashibara","Yûko Miyamura",38847,23530892,247,"8-8.5","B+"
"248","Lagaan: Once Upon a Time in India",2001,"U",224,"Adventure",8.1,84,"Ashutosh Gowariker","Aamir Khan","Raghuvir Yadav","Gracy Singh","Rachel Shelley",105036,70147,248,"8-8.5","B+"
"249","The Sixth Sense",1999,"A",107,"Drama",8.1,64,"M. Night Shyamalan","Bruce Willis","Haley Joel Osment","Toni Collette","Olivia Williams",911573,293506292,249,"8-8.5","B"
"250","La leggenda del pianista sull'oceano",1998,"U",169,"Drama",8.1,58,"Giuseppe Tornatore","Tim Roth","Pruitt Taylor Vince","Mélanie Thierry","Bill Nunn",59020,259127,250,"8-8.5","B"
"251","The Truman Show",1998,"U",103,"Comedy",8.1,90,"Peter Weir","Jim Carrey","Ed Harris","Laura Linney","Noah Emmerich",939631,125618201,251,"8-8.5","A"
"252","Crna macka, beli macor",1998,"R",127,"Comedy",8.1,73,"Emir Kusturica","Bajram Severdzan","Srdjan 'Zika' Todorovic","Branka Katic","Florijan Ajdini",50862,348660,252,"8-8.5","B+"
"253","The Big Lebowski",1998,"R",117,"Comedy",8.1,71,"Joel Coen","Ethan Coen","Jeff Bridges","John Goodman","Julianne Moore",732620,17498804,253,"8-8.5","B"
"254","Fa yeung nin wah",2000,"U",98,"Drama",8.1,85,"Kar-Wai Wong","Tony Chiu-Wai Leung","Maggie Cheung","Ping Lam Siu","Tung Cho 'Joe' Cheung",124383,2734044,254,"8-8.5","B+"
"255","Trainspotting",1996,"A",93,"Drama",8.1,83,"Danny Boyle","Ewan McGregor","Ewen Bremner","Jonny Lee Miller","Kevin McKidd",634716,16501785,255,"8-8.5","B+"
"256","Fargo",1996,"A",98,"Crime",8.1,85,"Joel Coen","Ethan Coen","William H. Macy","Frances McDormand","Steve Buscemi",617444,24611975,256,"8-8.5","B+"
"257","Underground",1995,"Not rated",170,"Comedy",8.1,79,"Emir Kusturica","Predrag 'Miki' Manojlovic","Lazar Ristovski","Mirjana Jokovic","Slavko Stimac",55220,171082,257,"8-8.5","B+"
"258","La haine",1995,"UA",98,"Crime",8.1,79,"Mathieu Kassovitz","Vincent Cassel","Hubert Koundé","Saïd Taghmaoui","Abdel Ahmed Ghili",150345,309811,258,"8-8.5","B+"
"259","Dilwale Dulhania Le Jayenge",1995,"U",189,"Drama",8.1,79,"Aditya Chopra","Shah Rukh Khan","Kajol","Amrish Puri","Farida Jalal",63516,23530892,259,"8-8.5","B+"
"260","Before Sunrise",1995,"R",101,"Drama",8.1,77,"Richard Linklater","Ethan Hawke","Julie Delpy","Andrea Eckert","Hanno Pöschl",272291,5535405,260,"8-8.5","B+"
"261","Trois couleurs: Rouge",1994,"U",99,"Drama",8.1,100,"Krzysztof Kieslowski","Irène Jacob","Jean-Louis Trintignant","Frédérique Feder","Jean-Pierre Lorit",90729,4043686,261,"8-8.5","A"
"262","Chung Hing sam lam",1994,"U",102,"Comedy",8.1,77,"Kar-Wai Wong","Brigitte Lin","Takeshi Kaneshiro","Tony Chiu-Wai Leung","Faye Wong",63122,600200,262,"8-8.5","B+"
"263","Jurassic Park",1993,"UA",127,"Action",8.1,68,"Steven Spielberg","Sam Neill","Laura Dern","Jeff Goldblum","Richard Attenborough",867615,402453882,263,"8-8.5","B"
"264","In the Name of the Father",1993,"UA",133,"Biography",8.1,84,"Jim Sheridan","Daniel Day-Lewis","Pete Postlethwaite","Alison Crosbie","Philip King",156842,25010410,264,"8-8.5","B+"
"265","Ba wang bie ji",1993,"R",171,"Drama",8.1,79,"Kaige Chen","Leslie Cheung","Fengyi Zhang","Gong Li","You Ge",25088,5216888,265,"8-8.5","B+"
"266","Dà hóng denglong gaogao guà",1991,"PG",125,"Drama",8.1,79,"Yimou Zhang","Gong Li","Jingwu Ma","Saifei He","Cuifen Cao",29662,2603061,266,"8-8.5","B+"
"267","Dead Poets Society",1989,"U",128,"Comedy",8.1,79,"Peter Weir","Robin Williams","Robert Sean Leonard","Ethan Hawke","Josh Charles",425457,95860116,267,"8-8.5","B+"
"268","Stand by Me",1986,"U",89,"Adventure",8.1,75,"Rob Reiner","Wil Wheaton","River Phoenix","Corey Feldman","Jerry O'Connell",363401,52287414,268,"8-8.5","B+"
"269","Platoon",1986,"A",120,"Drama",8.1,92,"Oliver Stone","Charlie Sheen","Tom Berenger","Willem Dafoe","Keith David",381222,138530565,269,"8-8.5","A"
"270","Paris, Texas",1984,"U",145,"Drama",8.1,78,"Wim Wenders","Harry Dean Stanton","Nastassja Kinski","Dean Stockwell","Aurore Clément",91188,2181987,270,"8-8.5","B+"
"271","Kaze no tani no Naushika",1984,"U",117,"Animation",8.1,86,"Hayao Miyazaki","Sumi Shimamoto","Mahito Tsujimura","Hisako Kyôda","Gorô Naya",150924,495770,271,"8-8.5","A"
"272","The Thing",1982,"A",109,"Horror",8.1,57,"John Carpenter","Kurt Russell","Wilford Brimley","Keith David","Richard Masur",371271,13782838,272,"8-8.5","B"
"273","Pink Floyd: The Wall",1982,"UA",95,"Drama",8.1,47,"Alan Parker","Bob Geldof","Christine Hargreaves","James Laurenson","Eleanor David",76081,22244207,273,"8-8.5","C"
"274","Fitzcarraldo",1982,"R",158,"Adventure",8.1,79,"Werner Herzog","Klaus Kinski","Claudia Cardinale","José Lewgoy","Miguel Ángel Fuentes",31595,23530892,274,"8-8.5","B+"
"275","Fanny och Alexander",1982,"A",188,"Drama",8.1,100,"Ingmar Bergman","Bertil Guve","Pernilla Allwin","Kristina Adolphson","Börje Ahlstedt",57784,4971340,275,"8-8.5","A"
"276","Blade Runner",1982,"UA",117,"Action",8.1,84,"Ridley Scott","Harrison Ford","Rutger Hauer","Sean Young","Edward James Olmos",693827,32868943,276,"8-8.5","B+"
"277","The Elephant Man",1980,"UA",124,"Biography",8.1,78,"David Lynch","Anthony Hopkins","John Hurt","Anne Bancroft","John Gielgud",220078,23530892,277,"8-8.5","B+"
"278","Life of Brian",1979,"R",94,"Comedy",8.1,77,"Terry Jones","Graham Chapman","John Cleese","Michael Palin","Terry Gilliam",367250,20045115,278,"8-8.5","B+"
"279","The Deer Hunter",1978,"A",183,"Drama",8.1,86,"Michael Cimino","Robert De Niro","Christopher Walken","John Cazale","John Savage",311361,48979328,279,"8-8.5","A"
"280","Rocky",1976,"U",120,"Drama",8.1,70,"John G. Avildsen","Sylvester Stallone","Talia Shire","Burt Young","Carl Weathers",518546,117235247,280,"8-8.5","B"
"281","Network",1976,"UA",121,"Drama",8.1,83,"Sidney Lumet","Faye Dunaway","William Holden","Peter Finch","Robert Duvall",144911,23530892,281,"8-8.5","B+"
"282","Barry Lyndon",1975,"PG",185,"Adventure",8.1,89,"Stanley Kubrick","Ryan O'Neal","Marisa Berenson","Patrick Magee","Hardy Krüger",149843,23530892,282,"8-8.5","A"
"283","Zerkalo",1975,"G",107,"Biography",8.1,79,"Andrei Tarkovsky","Margarita Terekhova","Filipp Yankovskiy","Ignat Daniltsev","Oleg Yankovskiy",40081,177345,283,"8-8.5","B+"
"284","Chinatown",1974,"UA",130,"Drama",8.1,92,"Roman Polanski","Jack Nicholson","Faye Dunaway","John Huston","Perry Lopez",294230,2.9e+07,284,"8-8.5","A"
"285","Paper Moon",1973,"U",102,"Comedy",8.1,77,"Peter Bogdanovich","Ryan O'Neal","Tatum O'Neal","Madeline Kahn","John Hillerman",42285,30933743,285,"8-8.5","B+"
"286","Viskningar och rop",1972,"A",91,"Drama",8.1,79,"Ingmar Bergman","Harriet Andersson","Liv Ullmann","Kari Sylwan","Ingrid Thulin",30206,1742348,286,"8-8.5","B+"
"287","Solaris",1972,"PG",167,"Drama",8.1,90,"Andrei Tarkovsky","Natalya Bondarchuk","Donatas Banionis","Jüri Järvet","Vladislav Dvorzhetskiy",81021,23530892,287,"8-8.5","A"
"288","Le samouraï",1967,"GP",105,"Crime",8.1,79,"Jean-Pierre Melville","Alain Delon","François Périer","Nathalie Delon","Cathy Rosier",45434,39481,288,"8-8.5","B+"
"289","Cool Hand Luke",1967,"A",127,"Crime",8.1,92,"Stuart Rosenberg","Paul Newman","George Kennedy","Strother Martin","J.D. Cannon",161984,16217773,289,"8-8.5","A"
"290","Persona",1966,"Not rated",85,"Drama",8.1,86,"Ingmar Bergman","Bibi Andersson","Liv Ullmann","Margaretha Krook","Gunnar Björnstrand",103191,23530892,290,"8-8.5","A"
"291","Andrei Rublev",1966,"R",205,"Biography",8.1,79,"Andrei Tarkovsky","Anatoliy Solonitsyn","Ivan Lapikov","Nikolay Grinko","Nikolay Sergeev",46947,102021,291,"8-8.5","B+"
"292","La battaglia di Algeri",1966,"Not rated",121,"Drama",8.1,96,"Gillo Pontecorvo","Brahim Hadjadj","Jean Martin","Yacef Saadi","Samia Kerbash",53089,55908,292,"8-8.5","A"
"293","El ángel exterminador",1962,"Not rated",95,"Drama",8.1,79,"Luis Buñuel","Silvia Pinal","Jacqueline Andere","Enrique Rambal","José Baviera",29682,23530892,293,"8-8.5","B+"
"294","What Ever Happened to Baby Jane?",1962,"Passed",134,"Drama",8.1,75,"Robert Aldrich","Bette Davis","Joan Crawford","Victor Buono","Wesley Addy",50058,4050000,294,"8-8.5","B+"
"295","Sanjuro",1962,"U",96,"Action",8.1,79,"Akira Kurosawa","Toshirô Mifune","Tatsuya Nakadai","Keiju Kobayashi","Yûnosuke Itô",33044,23530892,295,"8-8.5","B+"
"296","The Man Who Shot Liberty Valance",1962,"Not rated",123,"Drama",8.1,94,"John Ford","James Stewart","John Wayne","Vera Miles","Lee Marvin",68827,23530892,296,"8-8.5","A"
"297","Ivanovo detstvo",1962,"Not rated",95,"Drama",8.1,79,"Andrei Tarkovsky","Eduard Abalov","Nikolay Burlyaev","Valentin Zubkov","Evgeniy Zharikov",31728,23530892,297,"8-8.5","B+"
"298","Jungfrukällan",1960,"A",89,"Drama",8.1,79,"Ingmar Bergman","Max von Sydow","Birgitta Valberg","Gunnel Lindblom","Birgitta Pettersson",26697,1526000,298,"8-8.5","B+"
"299","Inherit the Wind",1960,"Passed",128,"Biography",8.1,75,"Stanley Kramer","Spencer Tracy","Fredric March","Gene Kelly","Dick York",27254,23530892,299,"8-8.5","B+"
"300","Les quatre cents coups",1959,"Not rated",99,"Crime",8.1,79,"François Truffaut","Jean-Pierre Léaud","Albert Rémy","Claire Maurier","Guy Decomble",105291,23530892,300,"8-8.5","B+"
"301","Ben-Hur",1959,"U",212,"Adventure",8.1,90,"William Wyler","Charlton Heston","Jack Hawkins","Stephen Boyd","Haya Harareet",219466,74700000,301,"8-8.5","A"
"302","Kakushi-toride no san-akunin",1958,"Not rated",139,"Adventure",8.1,79,"Akira Kurosawa","Toshirô Mifune","Misa Uehara","Minoru Chiaki","Kamatari Fujiwara",34797,23530892,302,"8-8.5","B+"
"303","Le notti di Cabiria",1957,"Not rated",110,"Drama",8.1,79,"Federico Fellini","Giulietta Masina","François Périer","Franca Marzi","Dorian Gray",42940,752045,303,"8-8.5","B+"
"304","Kumonosu-jô",1957,"Not rated",110,"Drama",8.1,79,"Akira Kurosawa","Toshirô Mifune","Minoru Chiaki","Isuzu Yamada","Takashi Shimura",46678,23530892,304,"8-8.5","B+"
"305","The Bridge on the River Kwai",1957,"PG",161,"Adventure",8.1,87,"David Lean","William Holden","Alec Guinness","Jack Hawkins","Sessue Hayakawa",203463,44908000,305,"8-8.5","A"
"306","On the Waterfront",1954,"A",108,"Crime",8.1,91,"Elia Kazan","Marlon Brando","Karl Malden","Lee J. Cobb","Rod Steiger",142107,9600000,306,"8-8.5","A"
"307","Le salaire de la peur",1953,"U",131,"Adventure",8.1,85,"Henri-Georges Clouzot","Yves Montand","Charles Vanel","Peter van Eyck","Folco Lulli",54588,23530892,307,"8-8.5","B+"
"308","Ace in the Hole",1951,"Approved",111,"Drama",8.1,72,"Billy Wilder","Kirk Douglas","Jan Sterling","Robert Arthur","Porter Hall",31568,3969893,308,"8-8.5","B+"
"309","White Heat",1949,"Not rated",114,"Action",8.1,79,"Raoul Walsh","James Cagney","Virginia Mayo","Edmond O'Brien","Margaret Wycherly",29807,23530892,309,"8-8.5","B+"
"310","The Third Man",1949,"Approved",104,"Film-Noir",8.1,97,"Carol Reed","Orson Welles","Joseph Cotten","Alida Valli","Trevor Howard",158731,449191,310,"8-8.5","A"
"311","The Red Shoes",1948,"Not rated",135,"Drama",8.1,79,"Michael Powell","Emeric Pressburger","Anton Walbrook","Marius Goring","Moira Shearer",30935,10900000,311,"8-8.5","B+"
"312","The Shop Around the Corner",1940,"Not rated",99,"Comedy",8.1,96,"Ernst Lubitsch","Margaret Sullavan","James Stewart","Frank Morgan","Joseph Schildkraut",28450,203300,312,"8-8.5","A"
"313","Rebecca",1940,"Approved",130,"Drama",8.1,86,"Alfred Hitchcock","Laurence Olivier","Joan Fontaine","George Sanders","Judith Anderson",123942,4360000,313,"8-8.5","A"
"314","Mr. Smith Goes to Washington",1939,"Passed",129,"Comedy",8.1,73,"Frank Capra","James Stewart","Jean Arthur","Claude Rains","Edward Arnold",107017,9600000,314,"8-8.5","B+"
"315","Gone with the Wind",1939,"U",238,"Drama",8.1,97,"Victor Fleming","George Cukor","Sam Wood","Clark Gable","Vivien Leigh",290074,198676459,315,"8-8.5","A"
"316","La Grande Illusion",1937,"Not rated",113,"Drama",8.1,79,"Jean Renoir","Jean Gabin","Dita Parlo","Pierre Fresnay","Erich von Stroheim",33829,172885,316,"8-8.5","B+"
"317","It Happened One Night",1934,"Approved",105,"Comedy",8.1,87,"Frank Capra","Clark Gable","Claudette Colbert","Walter Connolly","Roscoe Karns",94016,4360000,317,"8-8.5","A"
"318","La passion de Jeanne d'Arc",1928,"Passed",110,"Biography",8.1,79,"Carl Theodor Dreyer","Maria Falconetti","Eugene Silvain","André Berley","Maurice Schutz",47676,21877,318,"8-8.5","B+"
"319","The Circus",1928,"Passed",72,"Comedy",8.1,90,"Charles Chaplin","Charles Chaplin","Merna Kennedy","Al Ernest Garcia","Harry Crocker",30205,23530892,319,"8-8.5","A"
"320","Sunrise: A Song of Two Humans",1927,"Passed",94,"Drama",8.1,79,"F.W. Murnau","George O'Brien","Janet Gaynor","Margaret Livingston","Bodil Rosing",46865,539540,320,"8-8.5","B+"
"321","The General",1926,"Passed",67,"Action",8.1,79,"Clyde Bruckman","Buster Keaton","Buster Keaton","Marion Mack","Glen Cavender",81156,1033895,321,"8-8.5","B+"
